История тестирований - Правая рука - 10.07.2026 11:01;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Участник;Успешное нажатие;Ошибочное нажатие;Успешность,%;Стим 1;Стим 2;Стим 3;Стим 4;Стим 5;Стим 6;Стим 7;Стим 8;Стим 9;Стим 10;Стим 11;Стим 12
6;3 / 3;0 / 3;100;-;-;-;572;-;-;-;-;881;-;-;772
9;3 / 4;1 / 4;100;-;-;x;675;-;-;-;-;564;-;-;643
11;3 / 3;0 / 3;100;-;-;-;445;-;-;-;-;642;-;-;675
12;3 / 4;1 / 4;100;-;-;x;546;-;-;-;-;690;-;-;676
15;3 / 3;0 / 3;100;-;-;-;421;-;-;-;-;802;-;-;668
16;3 / 4;1 / 4;100;-;-;x;653;-;-;-;-;629;-;-;782
17;3 / 3;0 / 3;100;-;-;-;484;-;-;-;-;692;-;-;604
18;3 / 3;0 / 3;100;-;-;-;451;-;-;-;-;664;-;-;536
19;3 / 5;2 / 5;100;-;-;-;544;-;-;-;x;667;-;x;714
7;0 / 1;1 / 1;0;-;-;-;-;-;x;-;-;-;-;-;-
